date,company,ticker,cusip,change,new_shares
2/16/2021,TESLA INC,TSLA,88160R101,24752.0,957704.00
2/16/2021,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,221390.0,8565443.00
2/16/2021,SQUARE INC - A,SQ,852234103,37232.0,1440728.00
2/16/2021,TELADOC HEALTH INC,TDOC,87918A105,33696.0,1304018.00
2/16/2021,ROKU INC,ROKU,77543R102,19474.0,753401.00
2/16/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,22620.0,874766.00
2/16/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,5044.0,195592.00
2/16/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,71214.0,2755727.00
2/16/2021,AGORA INC-ADR,API,00851L103,38885.0,2470508.00
2/16/2021,NETFLIX INC,NFLX,64110L106,9906.0,382807.00
2/16/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,17602.0,681523.00
2/16/2021,TWITTER INC,TWTR,90184L102,70434.0,2725325.00
2/16/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,157716.0,6102316.00
2/16/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,10998.0,425700.00
2/16/2021,TWILIO INC - A,TWLO,90138F102,11102.0,429578.00
2/16/2021,NVIDIA CORP,NVDA,67066G104,7514.0,290901.00
2/16/2021,FACEBOOK INC-CLASS A,FB,30303M102,16562.0,640684.00
2/16/2021,BAIDU INC - SPON ADR,BIDU,056752108,13546.0,523801.00
2/16/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,38740.0,1498623.00
2/16/2021,FASTLY INC - CLASS A,FSLY,31188V100,39832.0,1540755.00
2/16/2021,DOCUSIGN INC,DOCU,256163106,14456.0,559063.00
2/16/2021,SNAP INC - A,SNAP,83304A106,57096.0,2209330.00
2/16/2021,UNITY SOFTWARE INC,U,91332U101,27898.0,1079556.00
2/16/2021,KE HOLDINGS INC,BEKE,482497104,49530.0,1916317.00
2/16/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1624316.0,4040066.00
2/16/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,16042.0,620309.00
2/16/2021,PELOTON INTERACTIVE INC-A,PTON,70614W100,19006.0,735680.00
2/16/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,10296.0,398240.00
2/16/2021,PINTEREST INC- CLASS A,PINS,72352L106,30784.0,1191451.00
2/16/2021,SALESFORCE.COM INC,CRM,79466L302,10946.0,423249.00
2/16/2021,HUBSPOT INC,HUBS,443573100,5174.0,200164.00
2/16/2021,ADYEN NV-UNSPON ADR,ADYEY,00783V104,49738.0,1924446.00
2/16/2021,TRADE DESK INC/THE -CLASS A,TTD,88339J105,2938.0,113901.00
2/16/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,31252.0,1209282.00
2/16/2021,MERCADOLIBRE INC,MELI,58733R102,1300.0,49997.00
2/16/2021,JD.COM INC-ADR,JD,47215P106,23946.0,926625.00
2/16/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,17602.0,680918.00
2/16/2021,ADOBE INC,ADBE,00724F101,4810.0,185989.00
2/16/2021,SYNOPSYS INC,SNPS,871607107,8086.0,313161.00
2/16/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,37908.0,1466870.00
2/16/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,1130728.0,6058036.00
2/16/2021,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,9282.0,359104.00
2/16/2021,CLOUDFLARE INC - CLASS A,NET,18915M107,26182.0,1012936.00
2/16/2021,APPLE INC,AAPL,037833100,15262.0,590712.00
2/16/2021,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,7930.0,306566.00
2/16/2021,OKTA INC,OKTA,679295105,6604.0,255493.00
2/16/2021,SKILLZ INC,SKLZ,83067L109,39052.0,1510234.00
2/16/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,6779306.98,17988409.28
