date,company,ticker,cusip,change,new_shares
2/16/2021,TESLA INC,TSLA,88160R101,66420.0,2998298.00
2/16/2021,ROKU INC,ROKU,77543R102,63583.0,4092845.00
2/16/2021,SQUARE INC - A,SQ,852234103,142973.0,5241960.00
2/16/2021,TELADOC HEALTH INC,TDOC,87918A105,126324.0,4943967.00
2/16/2021,ZILLOW GROUP INC - C,Z,98954M200,53787.0,5163857.00
2/16/2021,BAIDU INC - SPON ADR,BIDU,056752108,58656.0,2988063.00
2/16/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,50427.0,2581436.00
2/16/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,13588.0,492875.00
2/16/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,63796.0,2157862.00
2/16/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,212013.0,6487602.00
2/16/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,26052.0,1396445.00
2/16/2021,TWILIO INC - A,TWLO,90138F102,35234.0,1457505.00
2/16/2021,EXACT SCIENCES CORP,EXAS,30063P105,71118.0,3706408.00
2/16/2021,DOCUSIGN INC,DOCU,256163106,48188.0,2072430.00
2/16/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,193410.0,10992978.00
2/16/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,11411.0,3581423.00
2/16/2021,UNITY SOFTWARE INC,U,91332U101,67054.0,3632022.00
2/16/2021,KE HOLDINGS INC,BEKE,482497104,137532.0,5925673.00
2/16/2021,SEA LTD-ADR,SE,81141R100,16356.0,1374101.00
2/16/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,148385.0,4578435.00
2/16/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,116101.0,3306421.00
2/16/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,156615.0,6844028.00
2/16/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,26919.0,1573381.00
2/16/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,16275.0,581911.00
2/16/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,77379.0,3046092.00
2/16/2021,PACCAR INC,PCAR,693718108,38093.0,2816717.00
2/16/2021,SYNOPSYS INC,SNPS,871607107,23970.0,940322.00
2/16/2021,TERADYNE INC,TER,880770102,32036.0,1084152.00
2/16/2021,SNAP INC - A,SNAP,83304A106,135501.0,2296806.00
2/16/2021,PINTEREST INC- CLASS A,PINS,72352L106,108091.0,1603080.00
2/16/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,32517.0,1811792.00
2/16/2021,FATE THERAPEUTICS INC,FATE,31189P102,74181.0,1041823.00
2/16/2021,BEAM THERAPEUTICS INC,BEAM,07373V105,72302.0,398235.00
2/16/2021,TRIMBLE INC,TRMB,896239100,46048.0,2414695.00
