date,company,ticker,cusip,change,new_shares
2/18/2021,SQUARE INC - A,SQ,852234103,31726.0,1739735.00
2/18/2021,ZILLOW GROUP INC - C,Z,98954M200,24302.0,1332869.00
2/18/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,14790.0,810970.00
2/18/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,39208.0,2148725.00
2/18/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,22678.0,1242319.00
2/18/2021,PINTEREST INC- CLASS A,PINS,72352L106,38686.0,2120377.00
2/18/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,26883.0,1473134.00
2/18/2021,SEA LTD-ADR,SE,81141R100,11397.0,623953.00
2/18/2021,MERCADOLIBRE INC,MELI,58733R102,1566.0,86069.00
2/18/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,2088.0,114741.00
2/18/2021,ADYEN NV,ADYEN,BZ1HM42,1073.0,58194.00
2/18/2021,YEAHKA LTD,9923,BL58D39,185600.0,10259200.00
2/18/2021,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,284200.0,15559045.00
2/18/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,9135.0,500133.00
2/18/2021,TWILIO INC - A,TWLO,90138F102,5423.0,296730.00
2/18/2021,MEITUAN-CLASS B,3690,BGJW376,40600.0,2308782.00
2/18/2021,SNAP INC - A,SNAP,83304A106,34568.0,1895453.00
2/18/2021,AMAZON.COM INC,AMZN,023135106,580.0,31926.00
2/18/2021,DOCUSIGN INC,DOCU,256163106,7337.0,402006.00
2/18/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,59827.0,3280436.00
2/18/2021,WORKDAY INC-CLASS A,WDAY,98138H101,6003.0,328517.00
2/18/2021,APPLE INC,AAPL,037833100,12383.0,678171.00
2/18/2021,Z HOLDINGS CORP,4689,6084848,263900.0,14486730.00
2/18/2021,FACEBOOK INC-CLASS A,FB,30303M102,5336.0,292430.00
2/18/2021,INTUIT INC,INTU,461202103,3219.0,176347.00
2/18/2021,SPLUNK INC,SPLK,848637104,8033.0,440489.00
2/18/2021,JD.COM INC-ADR,JD,47215P106,12354.0,676771.00
2/18/2021,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,24679.0,1351958.00
2/18/2021,TELADOC HEALTH INC,TDOC,87918A105,4466.0,245321.00
2/18/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,29415159.88,59461281.14
2/18/2021,SCHWAB (CHARLES) CORP,SCHW,808513105,17516.0,959580.00
2/18/2021,BASE INC,4477,BKRQ8Q2,8700.0,458500.00
2/18/2021,KE HOLDINGS INC,BEKE,482497104,15544.0,852420.00
2/18/2021,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,7859.0,430322.00
2/18/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,7250.0,397095.00
2/18/2021,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,55100.0,3030400.00
2/18/2021,PINDUODUO INC-ADR,PDD,722304102,4495.0,246120.00
2/18/2021,NVIDIA CORP,NVDA,67066G104,1450.0,79550.00
2/18/2021,HDFC BANK LTD-ADR,HDB,40415F101,10034.0,549277.00
2/18/2021,DISCOVERY LTD,DSY,6177878,83433.0,4574172.00
2/18/2021,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,8700.0,449463.00
2/18/2021,VERISK ANALYTICS INC,VRSK,92345Y106,2784.0,152840.00
2/18/2021,BILL.COM HOLDINGS INC,BILL,090043100,2552.0,140171.00
2/18/2021,DRAFTKINGS INC - CL A,DKNG,26142R104,6786.0,371552.00
2/18/2021,MARKETAXESS HOLDINGS INC,MKTX,57060D108,609.0,33330.00
2/18/2021,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,1508.0,82667.00
