date,company,ticker,cusip,change,new_shares
2/19/2021,TELADOC HEALTH INC,TDOC,87918A105,13896.0,3650909.00
2/19/2021,EXACT SCIENCES CORP,EXAS,30063P105,115149.0,3863522.00
2/19/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,4284.0,1125100.00
2/19/2021,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,43398.0,11403474.00
2/19/2021,FATE THERAPEUTICS INC,FATE,31189P102,15831.0,4160029.00
2/19/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,19089.0,5015952.00
2/19/2021,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,7938.0,2085812.00
2/19/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,32112.0,8437681.00
2/19/2021,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,81972.0,21538984.00
2/19/2021,INCYTE CORP,INCY,45337C102,12537.0,3294418.00
2/19/2021,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,73052.0,844012.00
2/19/2021,CASTLE BIOSCIENCES INC,CSTL,14843C105,10899.0,2862973.00
2/19/2021,ACCOLADE INC,ACCD,00437E102,17577.0,4617526.00
2/19/2021,IONIS PHARMACEUTICALS INC,IONS,462222100,15786.0,4147708.00
2/19/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,4275.0,1121034.00
2/19/2021,BEAM THERAPEUTICS INC,BEAM,07373V105,7515.0,1974546.00
2/19/2021,SCHRODINGER INC,SDGR,80810D103,7623.0,2001055.00
2/19/2021,BERKELEY LIGHTS INC,BLI,084310101,9927.0,2607456.00
2/19/2021,BRISTOL-MYERS SQUIBB CO,BMY,110122108,11466.0,3010675.00
2/19/2021,THERMO FISHER SCIENTIFIC INC,TMO,883556102,1341.0,351627.00
2/19/2021,CODEXIS INC,CDXS,192005106,23481.0,6169204.00
2/19/2021,SAREPTA THERAPEUTICS INC,SRPT,803607100,6975.0,1830891.00
2/19/2021,ALPHABET INC-CL A,GOOGL,02079K305,270.0,72311.00
2/19/2021,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,8433.0,2215901.00
2/19/2021,PHREESIA INC,PHR,71944F106,7191.0,1887357.00
2/19/2021,GUARDANT HEALTH INC,GH,40131M109,2952.0,775166.00
2/19/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,5571.0,1461900.00
2/19/2021,ABBVIE INC,ABBV,00287Y109,2322.0,609890.00
2/19/2021,BUTTERFLY NETWORK INC,BFLY,124155102,9243.0,2428686.00
2/19/2021,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,146020.0,1965656.00
2/19/2021,908 DEVICES INC,MASS,65443P102,2421.0,634986.00
2/19/2021,REPARE THERAPEUTICS INC,RPTX,760273102,4923.0,1291585.00
2/19/2021,SURFACE ONCOLOGY INC,SURF,86877M209,15012.0,3944039.00
2/19/2021,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,4948.0,645455.00
2/19/2021,1LIFE HEALTHCARE INC,ONEM,68269G107,1143.0,298694.00
2/19/2021,HIMS & HERS HEALTH INC,HIMS,433000106,1980.0,518793.00
