date,company,ticker,cusip,change,new_shares
2/23/2021,TESLA INC,TSLA,88160R101,8479.0,3525023.00
2/23/2021,ROKU INC,ROKU,77543R102,422.0,3697575.00
2/23/2021,TELADOC HEALTH INC,TDOC,87918A105,47384.0,4958966.00
2/23/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2370.0,2800355.00
2/23/2021,BAIDU INC - SPON ADR,BIDU,056752108,7296.0,2799423.00
2/23/2021,ZILLOW GROUP INC - C,Z,98954M200,27396.0,5030034.00
2/23/2021,CRISPR THERAPEUTICS AG,CRSP,H17182108,52504.0,5910692.00
2/23/2021,INVITAE CORP,NVTA,46185L103,144155.0,16996887.00
2/23/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,2958.0,533529.00
2/23/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,18346.0,2456482.00
2/23/2021,EXACT SCIENCES CORP,EXAS,30063P105,39996.0,4192700.00
2/23/2021,TWILIO INC - A,TWLO,90138F102,7038.0,1369409.00
2/23/2021,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,994.0,1400691.00
2/23/2021,PURE STORAGE INC - CLASS A,PSTG,74624M102,224791.0,20758747.00
2/23/2021,DOCUSIGN INC,DOCU,256163106,9129.0,2078734.00
2/23/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,350452.0,5504147.00
2/23/2021,UNITY SOFTWARE INC,U,91332U101,2366.0,4339516.00
2/23/2021,PROTO LABS INC,PRLB,743713109,12134.0,3027621.00
2/23/2021,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,80620.0,11026310.00
2/23/2021,KE HOLDINGS INC,BEKE,482497104,22034.0,5943672.00
2/23/2021,TWIST BIOSCIENCE CORP,TWST,90184D100,170599.0,3072492.00
2/23/2021,INTELLIA THERAPEUTICS INC,NTLA,45826J105,51693.0,6286778.00
2/23/2021,LENDINGTREE INC,TREE UW,52603B107,9428.0,1192018.00
2/23/2021,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,1984.0,4744137.00
2/23/2021,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,34952.0,3316476.00
2/23/2021,PAGERDUTY INC,PD,69553P100,34593.0,7353689.00
2/23/2021,2U INC,TWOU,90214J101,48344.0,7843155.00
2/23/2021,EDITAS MEDICINE INC,EDIT,28106W103,46815.0,6480400.00
2/23/2021,SEA LTD-ADR,SE,81141R100,14538.0,1229659.00
2/23/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,17511.0,2323174.00
2/23/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,13993.0,7207235.00
2/23/2021,VERACYTE INC,VCYT,92337F107,54298.0,4713927.00
2/23/2021,MATERIALISE NV-ADR,MTLS,57667T100,40447.0,5615831.00
2/23/2021,REGENERON PHARMACEUTICALS,REGN,75886F107,12044.0,583682.00
2/23/2021,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,51782.0,3055354.00
2/23/2021,PACCAR INC,PCAR,693718108,1226.0,2825248.00
2/23/2021,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,274666.0,7066036.00
2/23/2021,SYNOPSYS INC,SNPS,871607107,4057.0,943182.00
2/23/2021,STRATASYS LTD,SSYS,M85548101,36633.0,6509675.00
2/23/2021,HUYA INC-ADR,HUYA,44852D108,46101.0,6698323.00
2/23/2021,SERES THERAPEUTICS INC,MCRB,81750R102,76985.0,7826230.00
2/23/2021,SNAP INC - A,SNAP,83304A106,1564259.0,2303791.00
2/23/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,163022625.35999998,149066762.57
2/23/2021,TERADYNE INC,TER,880770102,10219.0,1087453.00
2/23/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,18313.0,5235739.00
2/23/2021,TWITTER INC,TWTR,90184L102,14198.0,1867325.00
2/23/2021,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,14053.0,1817303.00
2/23/2021,PINTEREST INC- CLASS A,PINS,72352L106,48020.0,1607953.00
2/23/2021,FATE THERAPEUTICS INC,FATE,31189P102,44250.0,1346779.00
2/23/2021,CERUS CORP,CERS,157085101,178488.0,18561050.00
2/23/2021,COMPUGEN LTD,CGEN,M25722105,115367.0,9765352.00
2/23/2021,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,62292.0,4923270.00
