date,company,ticker,cusip,change,new_shares
2/26/2021,SQUARE INC - A,SQ,852234103,157186.0,5809631.00
2/26/2021,TELADOC HEALTH INC,TDOC,87918A105,575869.0,5540299.00
2/26/2021,BAIDU INC - SPON ADR,BIDU,056752108,365228.0,3167735.00
2/26/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,39250.0,573367.00
2/26/2021,EXACT SCIENCES CORP,EXAS,30063P105,62274.0,4259594.00
2/26/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,64749.0,1890868.00
2/26/2021,TWITTER INC,TWTR,90184L102,1598321.0,3467702.00
2/26/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,2441581.0,7683103.00
2/26/2021,BEAM THERAPEUTICS INC,BEAM,07373V105,381518.0,1400780.00
2/26/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,12789181.509999998,35133302.76
