date,company,ticker,cusip,change,new_shares
2/26/2021,SQUARE INC - A,SQ,852234103,261860.0,5809631.00
2/26/2021,TELADOC HEALTH INC,TDOC,87918A105,883059.0,5540299.00
2/26/2021,BAIDU INC - SPON ADR,BIDU,056752108,543892.0,3167735.00
2/26/2021,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,17724.0,2773383.00
2/26/2021,SHOPIFY INC - CLASS A,SHOP,82509L107,59581.0,573367.00
2/26/2021,PAYPAL HOLDINGS INC,PYPL,70450Y103,112500.0,2432787.00
2/26/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,36309.0,1890868.00
2/26/2021,TWITTER INC,TWTR,90184L102,2086328.0,3467702.00
2/26/2021,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,3232858.0,7683103.00
2/26/2021,TERADYNE INC,TER,880770102,37944.0,1076964.00
2/26/2021,BEAM THERAPEUTICS INC,BEAM,07373V105,331418.0,1400780.00
2/26/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,3887558.3899999857,35133302.76
2/26/2021,TRIMBLE INC,TRMB,896239100,76038.0,2542560.00
2/26/2021,JD.COM INC-ADR,JD,47215P106,245409.0,1824397.00
2/26/2021,KRATOS DEFENSE & SECURITY,KTOS,50077B207,227886.0,5250054.00
2/26/2021,RAVEN INDUSTRIES INC,RAVN,754212108,22682.0,1233430.00
2/26/2021,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,88122.0,2415764.00
2/26/2021,VUZIX CORP,VUZI,92921W300,257420.0,1050355.00
2/26/2021,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,1002988.0,1383547.00
2/26/2021,ONE - CLASS A,AONE,G7000X105,133679.0,342596.00
2/26/2021,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,738902.0,6655589.00
2/26/2021,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,114006.0,680963.00
2/26/2021,SKILLZ INC,SKLZ,83067L109,264700.0,1798974.00
2/26/2021,ACCOLADE INC,ACCD,00437E102,9543.0,4680011.00
2/26/2021,BERKELEY LIGHTS INC,BLI,084310101,212347.0,2748098.00
2/26/2021,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,156397.0,2311393.00
2/26/2021,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,285666.0,3310935.00
2/26/2021,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,198404.0,1631445.00
2/26/2021,908 DEVICES INC,MASS,65443P102,91552.0,773948.00
2/26/2021,1LIFE HEALTHCARE INC,ONEM,68269G107,232440.0,522905.00
2/26/2021,YEAHKA LTD,9923,BL58D39,1328400.0,11709200.00
2/26/2021,DISCOVERY LTD,DSY,6177878,40240.0,5537937.00
