date,company,ticker,cusip,change,new_shares
3/2/2021,TESLA INC,TSLA,88160R101,2588.0,545159.00
3/2/2021,BAIDU INC - SPON ADR,BIDU,056752108,3524.0,742769.00
3/2/2021,TRIMBLE INC,TRMB,896239100,12120.0,2554680.00
3/2/2021,DEERE & CO,DE,244199105,2508.0,528972.00
3/2/2021,JD.COM INC-ADR,JD,47215P106,8703.0,1833100.00
3/2/2021,TERADYNE INC,TER,880770102,5428.0,1144059.00
3/2/2021,KRATOS DEFENSE & SECURITY,KTOS,50077B207,25032.0,5275086.00
3/2/2021,ALPHABET INC-CL C,GOOG,02079K107,320.0,67080.00
3/2/2021,NXP SEMICONDUCTORS NV,NXPI,N6596X109,3176.0,669311.00
3/2/2021,KOMATSU LTD -SPONS ADR,KMTUY,500458401,18160.0,3827147.00
3/2/2021,CATERPILLAR INC,CAT,149123101,2264.0,477087.00
3/2/2021,LOCKHEED MARTIN CORP,LMT,539830109,1356.0,286056.00
3/2/2021,NVIDIA CORP,NVDA,67066G104,792.0,167373.00
3/2/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3292.0,693476.00
3/2/2021,TELEDYNE TECHNOLOGIES INC,TDY,879360105,1064.0,224297.00
3/2/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,9748.0,2054576.00
3/2/2021,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,6668.0,1405225.00
3/2/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,34633.0,7299707.00
3/2/2021,AEROVIRONMENT INC,AVAV,008073108,2888.0,608345.00
3/2/2021,SYNOPSYS INC,SNPS,871607107,1296.0,272953.00
3/2/2021,MAGNA INTERNATIONAL INC,MGA,559222401,3568.0,751705.00
3/2/2021,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,7960.0,1677866.00
3/2/2021,INTUITIVE SURGICAL INC,ISRG,46120E602,396.0,83921.00
3/2/2021,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,7404.0,1560379.00
3/2/2021,WORKHORSE GROUP INC,WKHS,98138J206,15144.0,3191503.00
3/2/2021,RAVEN INDUSTRIES INC,RAVN,754212108,5880.0,1239310.00
3/2/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,2508.0,528207.00
3/2/2021,PACCAR INC,PCAR,693718108,1928.0,406116.00
3/2/2021,ROCKWELL AUTOMATION INC,ROK,773903109,732.0,154236.00
3/2/2021,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,246623.0,2662387.00
3/2/2021,ANSYS INC,ANSS,03662Q105,524.0,110516.00
3/2/2021,ELBIT SYSTEMS LTD,ESLT,M3760D101,4668.0,275672.00
3/2/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,720.0,151819.00
3/2/2021,XILINX INC,XLNX,983919101,1192.0,251481.00
3/2/2021,VUZIX CORP,VUZI,92921W300,5008.0,1055363.00
3/2/2021,AUTODESK INC,ADSK,052769106,372.0,78776.00
3/2/2021,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,120393.0,1503940.00
3/2/2021,AMAZON.COM INC,AMZN,023135106,28.0,5841.00
3/2/2021,ONE - CLASS A,AONE,G7000X105,436664.0,895149.00
3/2/2021,APPLE INC,AAPL,037833100,300.0,63490.00
3/2/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,2009342.5,3541469.06
3/2/2021,SPLUNK INC,SPLK,848637104,4.0,1260.00
