date,company,ticker,cusip,change,new_shares
3/3/2021,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,66975.0,872788.00
3/3/2021,ACCOLADE INC,ACCD,00437E102,40875.0,4812268.00
3/3/2021,10X GENOMICS INC-CLASS A,TXG,88025U109,37368.0,1107686.00
3/3/2021,SAREPTA THERAPEUTICS INC,SRPT,803607100,67125.0,1923993.00
3/3/2021,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,217039.0,2651976.00
3/3/2021,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,295667.0,3633224.00
3/3/2021,BUTTERFLY NETWORK INC,BFLY,124155102,358634.0,3244235.00
3/3/2021,908 DEVICES INC,MASS,65443P102,117712.0,897888.00
3/3/2021,REPARE THERAPEUTICS INC,RPTX,760273102,2619.0,1297787.00
3/3/2021,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,22306406.059999995,36635088.41
3/3/2021,1LIFE HEALTHCARE INC,ONEM,68269G107,163714.0,690831.00
