date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/9/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,446369.00,8257826.50,2.43
3/9/2021,IZRL,"INTERCURE LTD",INCR,B23SD94,5078615.00,8089275.42,2.38
3/9/2021,IZRL,"E & M COMPUTING",EMCO,6302216,1198628.00,8011386.11,2.35
3/9/2021,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,647328.00,7975080.96,2.34
3/9/2021,IZRL,"WIX.COM LTD",WIX,M98068105,23829.00,7258789.98,2.13
3/9/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,254828.00,7142828.84,2.10
3/9/2021,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,572200.00,7043782.00,2.07
3/9/2021,IZRL,"INMODE LTD",INMD,M5425M103,100757.00,6891778.80,2.03
3/9/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,315112.00,6548027.36,1.92
3/9/2021,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,40426.00,6520498.94,1.92
3/9/2021,IZRL,"SILICOM LTD",SILC,M84116108,136241.00,6512319.80,1.91
3/9/2021,IZRL,"ALLOT LTD",ALLT,M0854Q105,426043.00,6284134.25,1.85
3/9/2021,IZRL,"ELECTRA CONSUMER PRODUCTS 19",ECP,B536CY7,156235.00,6221321.88,1.83
3/9/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,48040.00,6208117.33,1.82
3/9/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,1289426.00,6200188.13,1.82
3/9/2021,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,74320.00,6129170.40,1.80
3/9/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,56235.00,6117919.13,1.80
3/9/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,44879.00,6004637.43,1.76
3/9/2021,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,766503.00,6001718.49,1.76
3/9/2021,IZRL,"HILAN LTD",HLAN,6267230,131827.00,5998169.11,1.76
3/9/2021,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,77697.00,5982669.00,1.76
3/9/2021,IZRL,"POLYPID LTD",PYPD,M8001Q118,570902.00,5943089.82,1.75
3/9/2021,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,470769.00,5969350.92,1.75
3/9/2021,IZRL,"MALAM - TEAM LTD",MLTM,6875923,21729.00,5877203.26,1.73
3/9/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,263289.00,5855350.49,1.72
3/9/2021,IZRL,"HAMLET (ISRAEL-CANADA) LTD",HAML,6443858,315106.00,5770006.64,1.70
3/9/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,275064.00,5769197.60,1.70
3/9/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,60350.00,5792996.50,1.70
3/9/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,180782.00,5750675.42,1.69
3/9/2021,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,119457.00,5700993.73,1.68
3/9/2021,IZRL,"DARIOHEALTH CORP",DRIO,23725P209,268399.00,5641746.98,1.66
3/9/2021,IZRL,"RADWARE LTD",RDWR,M81873107,216182.00,5653159.30,1.66
3/9/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,288410.00,5635531.40,1.66
3/9/2021,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,24423.00,5600193.90,1.65
3/9/2021,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,662379.00,5583854.97,1.64
3/9/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,5826854.00,5551135.91,1.63
3/9/2021,IZRL,"ARAD LTD",ARD,B0G7VP6,391070.00,5527362.42,1.62
3/9/2021,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,327216.00,5503998.41,1.62
